date,country_code,label,views
2023-02-06,AU,non-political,283031
2023-02-06,AU,political,114212
2023-02-06,CA,No QID,964
2023-02-06,CA,non-political,741659
2023-02-06,CA,political,332193
2023-02-06,GB,No QID,841
2023-02-06,GB,non-political,3177787
2023-02-06,GB,political,1119593
2023-02-06,IN,No QID,27546
2023-02-06,IN,non-political,3988159
2023-02-06,IN,political,1372410
2023-02-06,US,No QID,11341
2023-02-06,US,non-political,23826765
2023-02-06,US,political,7864745
2023-02-07,AU,No QID,234
2023-02-07,AU,non-political,1049754
2023-02-07,AU,political,423246
2023-02-07,CA,No QID,2627
2023-02-07,CA,non-political,1767064
2023-02-07,CA,political,693686
2023-02-07,GB,No QID,1241
2023-02-07,GB,non-political,3875818
2023-02-07,GB,political,1475130
2023-02-07,IN,No QID,50624
2023-02-07,IN,non-political,7485680
2023-02-07,IN,political,2628374
2023-02-07,US,No QID,29623
2023-02-07,US,non-political,19372327
2023-02-07,US,political,7970983
2023-02-08,AU,No QID,258
2023-02-08,AU,non-political,1051601
2023-02-08,AU,political,425628
2023-02-08,CA,No QID,2587
2023-02-08,CA,non-political,1716493
2023-02-08,CA,political,708073
2023-02-08,GB,No QID,1043
2023-02-08,GB,non-political,4028037
2023-02-08,GB,political,1452208
2023-02-08,IN,No QID,45145
2023-02-08,IN,non-political,7150707
2023-02-08,IN,political,2556482
2023-02-08,US,No QID,28737
2023-02-08,US,non-political,19096728
2023-02-08,US,political,8877365
2023-02-09,AU,No QID,217
2023-02-09,AU,non-political,1058819
2023-02-09,AU,political,472783
2023-02-09,CA,No QID,2415
2023-02-09,CA,non-political,1713425
2023-02-09,CA,political,724687
2023-02-09,GB,No QID,1224
2023-02-09,GB,non-political,3762679
2023-02-09,GB,political,1548236
2023-02-09,IN,No QID,42074
2023-02-09,IN,non-political,7097510
2023-02-09,IN,political,2570486
2023-02-09,US,No QID,28248
2023-02-09,US,non-political,18919677
2023-02-09,US,political,8187071
2023-02-10,AU,No QID,263
2023-02-10,AU,non-political,1107503
2023-02-10,AU,political,456118
2023-02-10,CA,No QID,2984
2023-02-10,CA,non-political,1721051
2023-02-10,CA,political,716645
2023-02-10,GB,No QID,1210
2023-02-10,GB,non-political,4068685
2023-02-10,GB,political,1490564
2023-02-10,IN,No QID,38207
2023-02-10,IN,non-political,8108181
2023-02-10,IN,political,2563930
2023-02-10,US,No QID,10537
2023-02-10,US,non-political,18691283
2023-02-10,US,political,7824498
2023-02-11,AU,No QID,351
2023-02-11,AU,non-political,1291339
2023-02-11,AU,political,437884
2023-02-11,CA,No QID,2341
2023-02-11,CA,non-political,1833725
2023-02-11,CA,political,805813
2023-02-11,GB,No QID,1182
2023-02-11,GB,non-political,5490422
2023-02-11,GB,political,1576357
2023-02-11,IN,No QID,36998
2023-02-11,IN,non-political,7552412
2023-02-11,IN,political,2536145
2023-02-11,US,No QID,7490
2023-02-11,US,non-political,19972341
2023-02-11,US,political,7048586
2023-02-12,AU,No QID,451
2023-02-12,AU,non-political,1391521
2023-02-12,AU,political,483672
2023-02-12,CA,No QID,1985
2023-02-12,CA,non-political,2220475
2023-02-12,CA,political,734917
2023-02-12,GB,No QID,1088
2023-02-12,GB,non-political,5319632
2023-02-12,GB,political,1692327
2023-02-12,IN,No QID,44447
2023-02-12,IN,non-political,8051412
2023-02-12,IN,political,2736743
2023-02-12,US,No QID,4945
2023-02-12,US,non-political,24826004
2023-02-12,US,political,7323772
2023-02-13,AU,No QID,341
2023-02-13,AU,non-political,1286989
2023-02-13,AU,political,444183
2023-02-13,CA,No QID,2652
2023-02-13,CA,non-political,2762536
2023-02-13,CA,political,736547
2023-02-13,GB,No QID,1240
2023-02-13,GB,non-political,4154980
2023-02-13,GB,political,1494044
2023-02-13,IN,No QID,36379
2023-02-13,IN,non-political,7180911
2023-02-13,IN,political,2626348
2023-02-13,US,No QID,47980
2023-02-13,US,non-political,32376067
2023-02-13,US,political,7653489
2023-02-14,AU,No QID,259
2023-02-14,AU,non-political,1100020
2023-02-14,AU,political,431116
2023-02-14,CA,No QID,2822
2023-02-14,CA,non-political,1757632
2023-02-14,CA,political,718661
2023-02-14,GB,No QID,1103
2023-02-14,GB,non-political,4180038
2023-02-14,GB,political,1509204
2023-02-14,IN,No QID,32553
2023-02-14,IN,non-political,8315250
2023-02-14,IN,political,2540350
2023-02-14,US,No QID,28365
2023-02-14,US,non-political,19288466
2023-02-14,US,political,7883189
2023-02-15,AU,No QID,362
2023-02-15,AU,non-political,1011528
2023-02-15,AU,political,428528
2023-02-15,CA,No QID,2879
2023-02-15,CA,non-political,1768320
2023-02-15,CA,political,725112
2023-02-15,GB,No QID,1435
2023-02-15,GB,non-political,3945367
2023-02-15,GB,political,1653502
2023-02-15,IN,No QID,31791
2023-02-15,IN,non-political,6885088
2023-02-15,IN,political,2516445
2023-02-15,US,No QID,28755
2023-02-15,US,non-political,19843017
2023-02-15,US,political,8051103
2023-02-16,AU,No QID,383
2023-02-16,AU,non-political,1080915
2023-02-16,AU,political,427999
2023-02-16,CA,No QID,2559
2023-02-16,CA,non-political,1787683
2023-02-16,CA,political,715968
2023-02-16,GB,No QID,1142
2023-02-16,GB,non-political,4085518
2023-02-16,GB,political,1640788
2023-02-16,IN,No QID,33870
2023-02-16,IN,non-political,9763134
2023-02-16,IN,political,2673017
2023-02-16,US,No QID,27691
2023-02-16,US,non-political,20284238
2023-02-16,US,political,8060784
2023-02-17,AU,No QID,229
2023-02-17,AU,non-political,1150586
2023-02-17,AU,political,431610
2023-02-17,CA,No QID,2900
2023-02-17,CA,non-political,1773245
2023-02-17,CA,political,703851
2023-02-17,GB,No QID,1054
2023-02-17,GB,non-political,4489094
2023-02-17,GB,political,1556000
2023-02-17,IN,No QID,31261
2023-02-17,IN,non-political,7407257
2023-02-17,IN,political,2674511
2023-02-17,US,No QID,27925
2023-02-17,US,non-political,19916592
2023-02-17,US,political,7932245
2023-02-18,AU,No QID,414
2023-02-18,AU,non-political,1305695
2023-02-18,AU,political,419543
2023-02-18,CA,No QID,3465
2023-02-18,CA,non-political,1965843
2023-02-18,CA,political,689690
2023-02-18,GB,No QID,1138
2023-02-18,GB,non-political,5900386
2023-02-18,GB,political,1634849
2023-02-18,IN,No QID,34421
2023-02-18,IN,non-political,8220852
2023-02-18,IN,political,2731183
2023-02-18,US,No QID,5117
2023-02-18,US,non-political,20892258
2023-02-18,US,political,7560924
2023-02-19,AU,No QID,696
2023-02-19,AU,non-political,1314779
2023-02-19,AU,political,462236
2023-02-19,CA,No QID,3349
2023-02-19,CA,non-political,2197380
2023-02-19,CA,political,774866
2023-02-19,GB,No QID,1783
2023-02-19,GB,non-political,5422765
2023-02-19,GB,political,1819650
2023-02-19,IN,No QID,33679
2023-02-19,IN,non-political,8513987
2023-02-19,IN,political,2781315
2023-02-19,US,No QID,7098
2023-02-19,US,non-political,23409278
2023-02-19,US,political,8496661
2023-02-20,AU,No QID,277
2023-02-20,AU,non-political,1112840
2023-02-20,AU,political,458722
2023-02-20,CA,No QID,2454
2023-02-20,CA,non-political,2340256
2023-02-20,CA,political,774124
2023-02-20,GB,No QID,1305
2023-02-20,GB,non-political,4241480
2023-02-20,GB,political,1764482
2023-02-20,IN,No QID,32824
2023-02-20,IN,non-political,7428733
2023-02-20,IN,political,2748271
2023-02-20,US,No QID,27065
2023-02-20,US,non-political,22132696
2023-02-20,US,political,8456345
2023-02-21,AU,No QID,487
2023-02-21,AU,non-political,1046080
2023-02-21,AU,political,450538
2023-02-21,CA,No QID,2543
2023-02-21,CA,non-political,2001087
2023-02-21,CA,political,748902
2023-02-21,GB,No QID,1187
2023-02-21,GB,non-political,3938592
2023-02-21,GB,political,1645463
2023-02-21,IN,No QID,31783
2023-02-21,IN,non-political,7631147
2023-02-21,IN,political,2711393
2023-02-21,US,No QID,27569
2023-02-21,US,non-political,19254578
